,question_cleaned
670,november new york world called trip longest journey known mankind
671,taji jarl deserter whaling ship novel mardi
672,end novel reverend dimmesdale reveals publicly father hester prynnes daughter
673,well iliad odyssey number hymn attributed
674,country youd find book kells
675,lead singer blondie who fictional boy wizard
676,kelly clue crew demonstrates press nozzle aerosol content pushed pressurized gas gas called one general term chemical create thrust
677,chatfield memorial garden one many lovely garden garden state
678,classic candy bar thats female supreme court justice
679,victor hugo novel bellringer named barry humphries performs drag possum
680,heloise say remove screen clothes dryer toss bird theyll use nest
681,predicted first known antiparticle antithis also called positron
682,nutty candy bareating group woman amy tan novel
683,popular kid book tell true story trio oinkersfrom wolf perspective
684,willa cather antonia pioneer lost lady set frontier midwestern state
685,novel mr charrington run antique shop actually member thought police
686,thomas hardy novel michael henchard title mayor
687,surface innermost planet sun appears time large earth
688,vp garret hobart cast deciding vote independence formerly spanish pacific island
689,title poetplaywrights book celtic twilight became synonym irish literary revival
690,charles dickens ended story line god bless u every one
691,thermometer developer discovered boiling point liquid varies atmospheric pressure
692,britain pullover sweater america sleeveless dress worn blouse
693,graham greene gun sale published u title
694,substance conduct current sodium potassium one gatorade restores body
695,ole e rolvaag wrote saga laura ingalls wilder set little house
696,tutti frutti singer led third crusade
697,division separate saturn ring named man spotted
698,became first scandinavian band inducted rock roll hall fame
699,webslinging movie comic book hero loyal servant robinson crusoe
700,george bush veep hit deacon blue hey nineteen
701,wilkins first name david copperfield character who always waiting case anything turned
702,st jerome prepared latin version bible end th century
703,form glucose rotates plane polarized light clockwise
704,found cfc break main element harm ozone
705,jon clue crew report copenhagen denmark carlsberg developed saccharomyces carlsbergensis special strain ferment sugar beer
706,teddy roosevelt policy promise fairness chance win cash game show hosted howie mandel
707,hattie caraway arkansas became first woman elected body
708,december result lincoln election state seceded union
709,sarah clue crew demonstrates egg sink tap water saltwater egg gain defined upward force liquid object less dense
710,operation barbarossa code name nazi invasion nation
711,hermann hesse novel newspaper writer harry haller loner call
712,alex stand elmo sesame street th anniversary gennaro lombardi starting one restaurant elmo one elmos favorite food
713,pair started research biplane flown like kite
714,cbs forensics drama gil grissom splainin turn desi arnaz sitcom
715,benedict arnold man green mountain boy captured ticonderoga may
716,film goldie hawn join army serf british prime minister
717,phone call make jack london pay buck
718,dutchborn king ruled england jointly mary ii tasty new zealand fish
719,lantern hung old church warned patriot impending attack april
720,completes title eldridge cleaver memoir soul
721,may need high iq know iq stand
722,wife sinclair lewis research scientist dy epidemic west indie
723,moonwalking king pop music dripped way artistic fame
724,new dynamic duo made bruce wayne superhero self famous bandit sherwood forest
725,wrote first novel murphy year famous play waiting godot
726,nov teddy roosevelt left u personally see progress engineering project
727,isaac newton published first mathematical formulation fundamental force
728,ft normal body temperature blood
729,john gotti nickname man la mancha
730,lady brett ashley elopes bullfighter hemingway novel
731,title home hawthorne tale elmtree wide circumference rooted door
732,u marine recaptured merchant ship seized cambodia
733,bulgarian leader vulko chervenkov followed soviet model known little dictator
734,mississippi state tree flower state flower
735,novel cancer ward originally banned soviet union
736,boiling bone hide convert protein collagen foodstuff
737,radioactive isotope actinium year
738,james joyce book first published france
739,sonar stand word
740,cervantes alonso quijano change name reading romance chivalry
741,jungle book prose begin seven oclock warm evening seeonee hill
742,sequel tom brown schooldays called tom brown university
743,jimmy clue try crack whip like jet plane traveling faster mach whip make cracking noise traveling faster speed
744,nervous system calcium ion crossing gap cause release acetylcholine
745,sitcom scott baio nanny ride valley death
746,western state whose letter postal abbreviation sound like deadly sin
747,estimated temperature planet range f sunlit side dark side
748,william faulkner novel deal death burial addie bundren
749,henry miller colossus maroussi account travel country
750,metal name greek rose form salt give rosecolored solution
751,poem nobel prize winner heard arise go go innisfree small cabin build clay wattle made
752,firstclass type fulcrum applied force load
753,map rodent name precedes creek fall island course dam
754,branch justice department administers national crime information center
755,country pavilion new york world fair designed lucio costa oscar niemeyer
756,language browning sonnet portuguese originally written
757,puddnhead wilson twain wrote put egg one basket basket
758,american novelist created old fisherman santiago young bullfighter pedro romero
759,original st state admitted union
760,trademark name sleeping costar provides sleeping accommodation train
761,palynology seek knowledge past plant distribution studying grain
762,mother mule
763,garps literary creator go songwriting god bless america
764,russian chemist published periodic table
765,treasury secretary issued report manufacture critique american industry
766,upon leading march unemployed washington jacob coxey arrested trivial offense
767,may sent telegraph message using code hed also invented
768,sequel subtitled life plumfield jos boy
769,organ remove excess glucose blood store glycogen
770,ketchupseed mustardseed onionseed one who fairy midsummer night dream
771,general cornwallis surrendered yorktown american traitor accompanied back england
772,aaron burr molly pitcher distinguished june battle
773,jon clue crew hold white rock white sand national monument new mexico watersoluble form calcium sulfate rarely found sand new mexico tularosa basin river carry away form famed white sand
774,june temperature reached degree laughlin highest ever recorded state
775,father goodbye mr chip author schoolteacher hotelier
776,sweet boxer composed music west side story
777,bomb starspangled banner scentsible product febreze
778,vowel missing entire word text ernest wright gadsby
779,fleeing capital august took gilbert stuart portrait washington
780,wrote novel dombey son living switzerland
781,process neutral atom become electrically charged called
782,family tree genus populus salix wonder one alyson hannigan belongs
783,chaucer canterbury tale bawdy wife tell husband desire sixth
784,newton third law motion usually quoted every action word type reaction
785,primary ferrous metal
786,culture club lead singer father country
787,spanish regained control future new mexico capital pueblo indian
788,sarah clue crew walk dog yale university handsome dan number line yale mascot including one cared man later jimmy carter secretary state
789,long development robert boyle renamed torricellian tube
790,pro football infraction indicated
791,one contributor knickerbocker magazine author used knickerbocker pseudonym
792,cleanup pennsylvania nuclear power plant following meltdown didnt end
793,pirate flag broke minute mile
794,also term someone warsaw one strongest point magnetic field
795,tim gunn catchphrase convict laboring outside prison still serving sentence
796,city starting ending point phileas foggs day trip around world
797,spaniard usually drink bota
798,mph police car chase held selfevident thomas jefferson
799,va legislature rd president introduced religious freedom statute
800,line longitude measured east west line
801,whittaker chamber implicated state department official espionage agent soviet
802,sarah clue crew demonstrates flame appears underwater actually water cooling candle outer layer preventing wax burning cant latin disperse vapor
803,term mean active day happening every day
804,title th century work sir gawain paired knight
805,mammoth little pig nemesis who cnns senior white house correspondent
806,acceleration falling object varies place place variation force
807,line kipling book say rikkitikki right proud grow proud
808,sarah clue crew read pole vault duke university track durham nc bending elastic solid stress force causing deformation letter term deformation
809,alphabetical list u state rd state come immediately th state
810,portrait lady author prefers martini shaken stirred
811,coined phrase blow trumpet operetta ruddigore
812,george washington virginia estate cochaired clinton transition team
813,actor orson presented novelist war world radio
814,first word variety headline rural audience rejecting rural movie preceding hick pix
815,hemodialyzer medical device known artificial organ
816,dijon meaux also known condiment
817,excitement reigned adventureland tomorrowland vied mlb crown
818,arlington va office building cover twice area great pyramid cheops
819,dilapidated hawthorne mansion home pyncheon relative hepzibah phoebe clifford lodger
820,theyre line latitude lying degree north south equator
821,pindar tell one race team entered one finished
822,current supreme court justice find cant go home author
823,vodka tomato juice drink turn texasbased cosmetic giant
824,u army awarded medal invasion although fewer troop
825,actress seen star hong kong american tv go letter last name
826,sugar cho occurs milk mammal
827,bob eckhardt contest whooeee whooo pig whooo pig whooo pig whoeee whoeee
828,husband physician assumed name roger chillingworth
829,feared former cleveland slugger oriole popular girl dance
830,female party five star who mm mm good
831,m sheindlins legal tv show star meet st louis summer stock
832,chronicle riddick star internalcombustion machine found truck
833,monkey named arachnid noted long slender limb great agility
834,native country flora nwapa wrote lagos story
835,goethe called faust marlowe dubbed
836,l frank baum wrote lost princess place
837,control secret agent good operating weapon precisely guided target
838,first four chapter bram stoker work jonathan harkers journal
839,word mean bravery valor come latin heart
840,winnie pooh pal moonlighting howard stern assistant
841,fad involving type radio followed oil embargo
842,james buchanan president andrew johnson
843,lethal weapon director whose group caught sierra nevada pas winter
844,founded government department deal farmer given cabinet status
845,former first lady second four freedom award
846,colorful th century plague became hit play arthur miller
847,new jerseyites dressed indian burned greenwich similar party occurred earlier boston
848,penned classic line old man beard said feared
849,mr yankovics persona leading mob chicago
850,leatherback variety reptile one animal primarily eat jellyfish
851,kelly clue crew demonstrates coffee inclined plane ball clay inside enough reposition can natural center roll uphill
852,mar largest alaska city hit earthquake
853,sore stiff joint one symptom condition suffered sailor c vitamin c
854,sign language taught koko gorilla washoe one
855,supremes superstar running third party option
856,blue white branch african river
857,elected th u president rutherford b hayes member political party
858,dylan song direction home thats edible crustacean
859,sportswear designer began use immigration center near statue liberty
860,daily newspaper group founded mary baker eddy komodo dragon
861,became head paris institute radium
862,could firstever eviction got heaveho taking unauthorized meal break genesis
863,first mickey mouse cartoon sound baseball say hey kid
864,december ground broken omaha construction railroad
865,fdr statement united state america wasdeliberately attacked byjapan made date
866,square mile area different hand event seen camp david accord
867,described eugene onegin first great russian novel although written verse
868,snoopy owner who one poisonous type spider u
869,daphnia water flea related million time larger member surf turf combo
870,opposed arthropod vertebrate internal framework
871,cytology study biological building block
872,famous lingerie store hidden nuclear warhead
873,important source uranium radium mineral ore
874,hanged charlestown virginia week led attack harper ferry
875,original language jules verne novel known vingt mille lieues sou le mers
876,career novelist dawned dawn ohara show boat showed later
877,september granted full free absolute pardon
878,watson crick built model molecular structure genecarrying substance
879,edgar allan poe poem title bird favorite word nevermore
880,wicked witch west skywritten demand lady olympic figure skating champion
881,susan b anthony arrested
882,sophocles wrote tragedy selfsacrificing daughter oedipus
883,miss marple creator married billy joel
884,cotton gin inventor needed big screen bodyguard
885,biology finger math figure like
886,term geotropism refers effect direction plant grow bend
887,poet wrote built wall id ask know walling walling
888,fcc required analog tv sold u display help deaf nonenglish speaking
889,sang feel love tonight negotiating peace treaty japan ike secretary state
890,kipling short story daniel dravot becomes godlike monarch afghani tribe
891,macedonian world conqueror became tragic f scott fitzgerald hero
892,branch military part army became independent
893,territory adopted constitution became commonwealth
894,special flower april oxeye shasta
895,select comfort corporation make adjustable firmness
896,barry manilow born brooklyn michael dukakis born massachusetts town
897,somethings described effervescent mean lot
898,one point novel jean valjean owns factory
899,john osullivan later became diplomat coined term usa right cover continent
900,gutenberg discontinuity boundary separate core part earth
901,dog named jip chew cookbook belonging dickens title character wife dora
902,novel old seaman sings fifteen men dead man chest yohoho bottle rum
903,girl wrote declaration independence
904,title character france hodgson burnett novel grandson earl
905,poem include highland mary bank man man
906,one country shekel broken agorot
907,january became first woman fly solo hawaii u mainland
908,jan metroliner highspeed train service began new york city city end
909,ph measure acidity stand potential abundant element
910,th amendment passed allowing congress collect tax
911,ointment arthritic festive city light
912,one mole substance always number x
913,irving birdlike hero chased headless horseman
914,south african called story collection publication
915,eugene carolyn shoemaker david levy discovered highly fragmented one
916,kid game certain phrase allows imitate movement odd couple playwright
917,school seminole thats annual speech given president
918,venetian official gave authority remained commander army navy
919,basho wrote famous hardtotranslate haiku creature jumping pond
920,dark drink like scotch lot vodka less impurity called congener culprit nasty condition
921,end moby dick narrator rescued another whaling ship rachel
922,fdr appointed new men body took got packing wanted
923,colorful vegetable dish herb liqueur shade yellowishgreen
924,time john foster dulles secretary state brother allen headed agency
925,hole discovered ozone layer continent
926,hey lady star nutty professor created mad hatter
927,spacy song heard
928,received pound tale lemuel gulliver time paid writing
929,title incident vigilante hang men falsely accused cattle rustling
930,classic dickens book scrooge mom marcia jan cindy greg peter bobby
931,science deal motion behavior bullet
932,lunar florida song turned florida cop show
933,arthurian legend morgan le fay ruler island
934,political party founded around stood strong central government
935,surveyor used milestone mark boundary line maryland pennsylvania
936,leader club young female wear uniform designed bill blass
937,gray metal used spark plug xray tube well filament
938,tolstoy epic russian society contains character
939,invasion cuba wrapped tasty pastry
940,mari lycon laogonus erymas sarpedon erylaus patroclus die book work
941,literary point view write like
942,first published bloomsday book guide james joyce work
943,american arthur compton work proved existence particle light
944,government leasing oil reserve mammoth oil caused scandal next year
945,winning disputed election inaugurated cry rutherfraud
946,chess piece usually look like part castle sometimes called castle
947,smithsonian celebrated th anniversary scientist principia
948,famous th c clipper ship share name brand scotch
949,macedonian conqueror linus van pelt wait patiently halloween
950,ullo gouverneur signer constitution gave document final wording
951,june lbj met soviet premier glassboro nj discus world problem
952,pioneering palimony suit brought singer heard grapevine
953,green plant pigment also found algae bacteria
954,senator presidential hopeful who breed best show westminster dog show
955,addition buck white fang author wrote jerry irish terrier pup
956,james fenimore cooper novel pioneer first series tale
957,b traven novel american looking gold mexico first published germany
958,kid story character say sky falling sky falling awopbopaloomop alopbamboom
959,mormon say divine intervention sent bird stop cricket infestation
960,stephen austin held prison month country
961,speech like compare planet new york restaurant th th
962,gland sore theyre busy producing infectionfighting white blood cell
963,act hadnt passed july would alien act
964,oglala sioux chief fatally stabbed sept fort robinson nebraska
965,nyc murder mary rogers inspired poe changed setting paris created mystery
966,wrote polish life poland history south africa covenant
967,around thomas morgan found hereditary unit located chromosome within cell
968,nationwide free slurpee day date
969,marlon brando film set france decides live simple life heiress
970,jimmy clue crew discusses earthquake hypocenter earthquake originates point surface vertically hypocenter known
971,captain injured gunpowder explosion lost leadership role jamestown
972,jerry garcias ancient biblical text qumran
973,chapter novel boisterous crowd gathering fagin execution
974,located foot andes judicial capital bolivia
975,vegetable dye turn red acid solution blue alkaline solution
976,john newton wrote inspiring hymn extra week get pay credit card bill
977,september general led american army mexico city
978,famous story telltale heart tell u old man vexed evil eye
979,pleasure carriage raised driver seat th century british queen named
980,group came power china demanded literature depict hero working class
981,process cell division unlike mitosis cell divide half number chromosome
982,take approximately mph achieve
983,novel baroness orczy colorful hero really sir percy blakeney
984,absence year returned colony named father
985,rolling stone song thats gas gas gas comic book hero save earth ming merciless
986,science took leap forward physicist max planck devised theory light
987,let last novel john galsworthy series
988,novel begin coast cuba end shore day later
989,common element whose refined form include pig cast wrought
990,one reviewer called recent sara gruen bestseller much tale circus
991,fossilized resin prehistoric pine preserve insect forever
992,th ave museum sell pin representing unofficial mascot william hippo
993,fahrenheit scale freezing point water boiling point
994,title chief doj
995,chemical symbol sn
996,unpopular law dealt citizenship free speech contributed john adam defeat
997,amendment state short ratification deadline elapsed june
998,title willa cather novel refers certain m shimerda
999,everybody hate comic huge limestone mass overlooking entrance mediterranean
1000,jon clue crew enlightens u scientific knowledge term machine convert mechanical energy electrical energy weve turned motor one making light bulb
1001,reducedcalorie sugar substitute top hit band war
1002,master take care clothing providing sustenance body troop
1003,beatles album wwii miniseries hbo
1004,tiny bubble singer began serving president north vietnam
1005,joseph conrad novella set belgian congo
1006,experimental novelist named william published account drug addiction name william lee
1007,u made great buy france would happy new orleans
1008,mineral come corundum mohs scale
1009,story dandy frightening squatter appeared carpetbag humorous paper
1010,tracking coast guard rate bergy bit growler small medium large
1011,emperor youngest brother jerome married american teenager baltimore
1012,bronco buster sculptor tv detective played pierce brosnan
1013,black spot serious fungal disease affect flower rugosas good resistance
1014,van gogh painting director george romeros zombie film classic
1015,portrait u bill photograph taken man studio
1016,jonathan edward among leader great religious movement
1017,sofia clue crew ronald reagan library man awarded medal freedom ronald reagan january
1018,termed last sorcerer recent biography became first scientist knighted work
1019,thomas mann magic mountain set swiss sanatorium disease
1020,although married alexei fall love handsome count vronsky
1021,campaign slogan promised every pot car every garage
1022,yesss he sport announcer theorized relativity
1023,comedy ben stiller jack black playing soldier thats springsteen song line sit tight take hold
1024,pope john paul ii added automobilerelated act official list catholic sin
1025,buddenbrooks first important novel th century german author
1026,wrote auto industry wheel airline industry airport
1027,youd find number written entry encyclopedia order
1028,rb group hit celebration included mao third wife implement harsh policy
1029,one quartet fighting terrapin us give shell brilliant shine
1030,may campaigning laurel md alabama governor shot paralyzed arthur bremer
1031,american began oocupy even could send russia million paid
1032,astronomy unit measure abbreviated pc
1033,common type organism combining algae fungi fructose foliose crustose
1034,march speech also said peace sweet purchased price chain slavery
1035,muriel spark novel set marcia blaine school girl edinburgh
1036,theyre band gave u dance floor favorite heard
1037,author said acting play kid came idea tale two city
1038,poe mystery marie roget sequel story featuring detective c auguste dupin
1039,lead singer miracle stranded desert island
1040,nelson algren natl book award novel card dealer morphine addict frankie machine
1041,sun time massive earth time massive planet
1042,nov territorial governor indiana lost men tippecanoe
1043,poe tale contains line french army entered toledo
1044,title novel charles jackson become catch phrase major drinking binge
1045,mycobacterium tuberculosis one organism process kill milk
1046,british baron pioneered antiseptic surgery using carbolic acid sterilization
1047,billy batson said word got wisdom solomon speed mercury
1048,h club extension service u cabinet department
1049,done wrong star illness spread mosquito
1050,bionic six million dollar man mystery whose foe dr evil
1051,fossil guy named german valley star quixote musical
1052,anthony hope novel king rudolf prisoner castle ruritania
1053,specifically letter word describes person year old
1054,jimmy clue crew present clue map oregon trail started independence missouri crossed great plain following river
1055,melville character artificial leg carved jawbone sperm whale
1056,july scientist released closeup photo ganymede taken space probe
1057,color mentioned title zane grey popular novel
1058,title steinbeck novel refers district monterey inhabited paisanos
1059,western author stopped using pen name soon publication hondo
1060,central high school made national landmark memory event
1061,sergio leone han christian andersen spaghetti western clint eastwood becomes swan
1062,part wife body wilhelm roentgen xrayed first
1063,year coming america quaker imprisoned tower london belief
1064,old quaker captain peleg captain bildad partowners pequod novel
1065,christmas carol character tell scrooge wear chain forged life
1066,duke buddy garth featured local public access show
1067,obtained charter establish georgia founded savannah year later
1068,sunshine state east west portion western part belongs ala miss la
1069,rb singer aint got home nixon running mate
1070,star truly top gun he flying radar deliver warhead
1071,plant breeder moved california using profit earned potato
1072,bodyguard star troubled message mission control apollo
1073,may put rabbit rest published new family saga beauty lily
1074,portland type substance limestone shale heated almost fused ground
1075,richard middlemas get crushed elephant surgeon daughter tale edinburgher
1076,reader picked copy year round read installment great expectation
1077,essay civil disobedience delivered lecture printed resistance civil government
1078,lady tennis legend grouchy press get compared arthropod delicious leg
1079,wilkie collins novel mysterious rock
1080,discoveryland euro disney equivalent futuristic land found disneyland disney world
1081,jindyworobak movement celebrated country aboriginal culture
1082,unaware treaty ghent signed earlier british attacked louisiana city jan
1083,singin rain star worked office temp
1084,boyle law say normally double pressure gas volume decrease amount
1085,painter maine seascape say doh tormented son bart
1086,f scott fitzgerald novel myrtle wilson accidentally run killed daisy buchanan
1087,oath horatii painter patrolled beach hunky star baywatch
1088,resigning chief justice pined daisy buchanan
1089,isotope element differ number subatomic particle
1090,ninth symphony includes ode joy opera fidelio includes nameless joy
1091,king arthur furniture listed beginning book
1092,u supplied materiel ally wwii congressional act
1093,peter quint miss jessel ghost henry james ghost story
1094,thoreau work includes chapter pond winter
1095,slow steady win race famous last line fable
1096,samuel butler satire alternate title range
1097,clint howard nice tv bear make cherry garcia ice cream
1098,make rigel brightest star constellation really star theyre belt
1099,martian invader hg well novel destroyed earthly bacteria
1100,nevil shute novel depicts coming annihilation human race nuclear war
1101,said cleric french prime minister louis xiii exercised jumping furniture
1102,mortuary deer antelope lie state
1103,heroine novel shirley inspired late sister emily
1104,screw wedge adaptation type simple machine
1105,assumed full ownership pennsylvania gazette
1106,germanborn american physicist nobel prize physic
1107,father son frankish leader charles martel named
1108,higher tract heartburn originates get law helping serviceman go college
1109,magnification one million time achieved type microscope
1110,softserve current british monarch curl top
1111,wampanoag chief people shared thanksgiving pilgrim
1112,largest state entirely east mississippi
1113,pair cell fruit fly make sexrelated
1114,word title bobbie ann mason novel refers time soldier spent vietnam
1115,jennifer derives celtic form legendary queen name
1116,st hold nominating convention rd party ironically chose mason wm wirt run pres
1117,full title tale end alice found
1118,shouldnt mind bride could one without husband say bathsheba hardy novel
1119,weather chart line connects place barometric pressure
1120,revolutionary war traitor became big screen conan barbarian
1121,article served basis national government
1122,taste rainbow fruit flavor candy brand
1123,film actor beau brother love affair iowa meryl streep
1124,serving postmaster general became czar motion picture industry
1125,novel mariner lived year alone uninhabited island
1126,remarkably survivor zeppelin crashed new jersey
1127,dromedary type mammal hump bactrian
1128,jim hutton tv detective go jack bailey tv weeper mortified named
1129,last dutch governor new york new netherland time
1130,negative particle orbit atom nucleus
1131,published exemplary tale believed first short story written castilian
1132,moon sea tranquility sea synonym tranquility
1133,big fuss nothing warren harding might thought
1134,bermoothes prosperos brother shipwrecked play might named bermuda
1135,chapter one book informs u unquestionably chuzzlewit gunpowder plot
1136,legendary large pool player aint misbehavin world jazz music
1137,jack london story dog buck join nick cartoon eliza talk animal
1138,group volunteer created mar work improve living condition nation
1139,president declared bank mr van buren trying kill kill
1140,jimmy clue crew display chemical formula monitor acetic acid vinegar reacts caco compound eggshell bubble co form vinegar dissolve shell leaving membrane
1141,george kaufman helped john steinbeck turn work george lennie play
1142,great chilean poet known twenty love poem song despair
1143,might put f lee bailey one admit show one
1144,nearly twice sweet sucrose fruit sugar main sweetener honey
1145,drink traced back ethiopian province keffa kaffa maybe source name
1146,public enemy robbed midwestern bank done woman red
1147,convened may adam london jefferson paris patrick henry refused attend
1148,scientist mapped large lake continent covered mile ice
1149,john donne poem thats rolling rolling rolling river
1150,gold swimming olympics chosen homecoming queen school
1151,october u mint issued first fifty year
1152,sialia mexicana scientific name western bluebird sialia genus mexicana tell
1153,roderick madeline doomed twin scary story fall house usher
1154,computer audio amplifier process part output return input
1155,flower anther part stamen produced
1156,dept agriculture began new version program helping million people
1157,stranger nobel prize literature winning
1158,poem scot observer collected barrackroom ballad verse
1159,fact maam dragnet cop unlucky horror film
1160,indentured servant aboard ship sailed new world sept
1161,faith set iowa nebraska utah handcart migration
1162,lived last year chicago hull house
1163,cheryl clue crew report gettysburg cemetery lincoln dedicated cemetery saying cannot consecratewe cannot ground
1164,signed february treaty ended mexican war
1165,living thing like germ live without gas symbolized
1166,bird bee perform transfer gamete anther stigma
1167,poker hand jack seven upper chamber britain bicameral legislature
1168,yearold holden caulfield narrator acclaimed novel
1169,would cary last name seemed suave hed gained fame archibald leach
1170,tail body formed ice turn gas get closer sun
1171,american colony british east india company monopoly sale beverage
1172,sarah clue crew new orleans author classic american novel winesburg ohio lived pontalba apartment jackson square
1173,pop duo phil also collected classic fairy tale
1174,rd blackmore novel begin exmoor county somerset year
1175,davy crockett among nearly men died defending missionfortress san antonio texas
1176,tony scenic design went nightingale late southern playwright
1177,month object range mile mile earth
1178,spanish sauce chip dip may spicy itll make want dance
1179,name process caterpillar go become moth
1180,british commander sir edward pakenham killed battle fought week war
1181,oliver goldsmith play subtitled mistake night
1182,type letter telling second president united state youre girlfriend anymore
1183,behaviorist dog drool work russian physiologist
1184,nicodemus frapp narrowminded evangelist tonobungay novel author time machine
1185,special flower april oxeye shasta
1186,prep school classic separate peace take place war
1187,acquisition doubled size u
1188,solid part earth distinguished atmosphere hydrosphere
1189,requiem nun sequel sanctuary
1190,metal ductile pulled cold pressure
1191,latin metal known aurum
1192,ali portrayer handgun manufacturer celebrated th anniversary
1193,multitalented man played george costanza tv writing gulag archipelago
1194,male sea spider carry egg special pair hatch
1195,parade end author drive first pony car
1196,maker data communication equipment u robotics named author book robot
1197,handsome dan ivy league university first bulldog mascot resides glass case stuffed
1198,act enabled u become arsenal democracy
1199,texas scientist found fossil flying lizard wingspan
1200,computer lingo punctuation mark called bang pling
1201,colorful cheap entree special diner thats geologic theory explaining fault earth crust
1202,jon clue crew push straw cupcake extract result using cupcake straw approximating word scientific reading used undersea underground prospecting
1203,epistolary novel form popularized samuel richardson pamela
1204,last temptation christ many chapter traditional number year jesus life
1205,silversmith set mill make gunpowder colonist ran bunker hill
1206,cirque du soleil performs dazzling alegria show beau rivage resort biloxi state
1207,silent planet first scifi novel narnia creator
1208,fundamental force electromagnetism gravity opposite nuclear force
1209,behaviorist dog drool work russian physiologist
1210,spanish explorer ponce de leon claimed florida spain june
1211,sea level degree travel foot per second speed foot per sec rising degree
1212,opposite base turn blue litmus red
1213,wildhaired boxing promoter who world largest venomous snake
1214,opera diva nazi germany last major counteroffensive december
1215,word preceded england inne name romantic getaway stowe vermont
1216,lydia xenia womens name derived language
1217,ratio amount water vapor air amount air hold temperature
1218,computer maker nasdaq symbol aapl mac
1219,ahoy symbol cereal commander s guppy
1220,buzz aldrin jim lovell look like twin prepare mission program
1221,queen anne lace ancestor orange vegetable root resembling
1222,research novel irving stone stayed van gogh asylum cell
1223,iceberg north atlantic come glacier island west coast
1224,wrote bennie jet supreme court decision martin v franklin capital corp
1225,orator became governor virginia
1226,popular tv game show usa top performing company
1227,positive ion formed atom loses one
1228,element known inert gas known aristocratic name
1229,former van halen lead singer became comic strip viking
1230,book concerning revolution celestial sphere started astronomical revolution
1231,ranking captain behind u navy admiral star
1232,meat egg benedict lead revolt virginia colonial government
1233,settlement economy grew john rolfe found tobacco could successfully grown
1234,stephen hawking bio universe hit jim croce
1235,nd law cover equal distribution resource thus cream coffee blend evenly even stirred
1236,made quasimodo deaf
1237,wrote gregor samsa awoke found transformed gigantic insect
1238,searching city cibola men traveled far north presentday lyon kansa
1239,among alkaloid found plant stimulant found coffee tea
1240,archdeacon claude frollo hunchback master
1241,fictional girl sleuth who granddaughter great profile
1242,kelly clue crew demonstrates science experiment glass pushed water molecule dont escape pressed together act shield water paper keeping dry
1243,largest tree general sherman california type also called sierra redwood
1244,republican began serving first term governor kansa
1245,beatles song talented mr ripley costar
1246,dystopian novel teenage killer alex lead gang drink certain kind black tea grown india
1247,movie biography shirley muldowney starred pat vanna
1248,scribed green mile carrie aping around empire state building fay wray
1249,youre junior member organization think outside box earn cookie biz badge
1250,chapter tolstoy novel princess bolkonsky say tell war
1251,city slicker funnyman built rev schullers orange county church
1252,kelly clue crew indicates formula monitor newton law f attractive force g gravitational constant mass two body stand
1253,ozzie harriet offspring sworn vice president ford
1254,buffalo girl evening star among lonesome dove author recent novel
1255,author good earth based heroine novel proud heart
1256,novel hermann hesse based early life buddha
1257,completed california first railroad ran mile sacramento prison city
1258,fan circulates hot air type oven cook faster conventional oven
1259,rust slow example process combustion defined rapid one
1260,siege alamo gave texas general time prepare battle san jacinto
1261,received pulitzer prize collected story ship fool
1262,foe said agreed withdraw remaining federal troop south return electoral support
1263,man bought manhattan indian later served governor new sweden
1264,april u supreme court upheld transportation method way achieve school integration
1265,bernard binlin dadies novel climbie depicts ivorian country homeland colonial time
1266,character might cluck herb spice falling herb spice falling
1267,male passenger signed document provincetown harbor november
1268,sofia clue crew report la brea tar pit los angeles bubbling seen caused gas major part jupiter atmosphere
1269,husband poet elizabeth wrote england april
1270,isohel weather map line showing connecting place equal amount
1271,first sequel classic french novel titled twenty year
1272,opened left hope sandwich chip apple juice carton
1273,antislavery force set back supreme court decided case man v sandford
1274,youthful gangster became world leader
1275,goldie hawn title character promoted prime minster victoria becomes
1276,name antijackson party introduced senate henry clay april
1277,breathing gas expel atmosphere
1278,may received patent improved model airplane
1279,scarefest mom daughter switch body one day stalked jason camp crystal lake
1280,one punctuation mark necessary every declarative sentence
1281,kill insect youve committed insecticide kill mildew shower youve committed
1282,superman girlfriend pig hit shop new dud
1283,em forster novel set fictional city chandrapore
1284,revolutionary war traitor also told true lie film fan
1285,peau de soie textile good drapability body woven fiber
1286,wide sargasso sea jean rhys story mad wife jane eyre character
1287,abbreviated lm measurement light
1288,ph ph scale stand potential element
1289,wine state include chesapeake blanc plantation blush james river white
1290,grammywinning saxophonist went watergate conspirator radio talk show host
1291,confederate state america established city first confederate capital
1292,sancho panza ride donkey named dapple cervantes novel
1293,element whose atomic weight closest atomic number
1294,magnetron electronic tube used produce wave found kitchen
1295,lawrence kansa founded people opposed practice
1296,th c novel sancho panza promised eventually get governorship island
1297,instrument measuring walked distance work responding body motion
1298,edison proposed using sheet metal used cadmium battery substitute paper book
1299,man law tale chaucer work tell story constance emperor daughter
1300,civil war nurse became coen brother title character
1301,young narrator treasure island
1302,process substance change liquid gas called
1303,discovery energy quantum earned nobel prize physic
1304,boxing champ stung thief like bee
1305,mean soak meat like beef chicken flavor tenderize preserve
1306,electrically speaking opposite resistivity
1307,talented mr ripley actor whose colorful story became guy doll
1308,traffic trail san antonio abilene peaked cattle
1309,basic type saddle english type preferred cowboy
1310,leading real estate brokerage firm tv series starring johnny depp undercover cop
